Player Hands,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Ace
20,Stay,Double,Stay,Hit,Stay,Hit,Stay,Stay,Hit,Hit
19,Hit,Hit,Double,Stay,Hit,Double,Stay,Stay,Stay,Double
18,Double,Stay,Hit,Double,Double,Hit,Hit,Stay,Stay,Stay
17,Hit,Double,Hit,Hit,Stay,Hit,Hit,Double,Hit,Double
16,Stay,Double,Double,Double,Hit,Stay,Stay,Hit,Hit,Stay
15,Hit,Double,Hit,Hit,Double,Stay,Hit,Double,Double,Double
14,Stay,Stay,Stay,Hit,Double,Stay,Hit,Double,Hit,Double
13,Hit,Double,Double,Hit,Hit,Double,Hit,Double,Hit,Stay
12,Stay,Stay,Stay,Stay,Double,Double,Double,Double,Stay,Stay
11,Stay,Double,Hit,Double,Stay,Hit,Stay,Stay,Hit,Hit
10,Double,Hit,Hit,Stay,Hit,Stay,Hit,Double,Double,Double
9,Hit,Hit,Hit,Hit,Hit,Stay,Hit,Stay,Hit,Hit
8,Stay,Hit,Stay,Stay,Stay,Hit,Stay,Stay,Hit,Double
7,Double,Double,Hit,Stay,Double,Stay,Hit,Stay,Hit,Stay
6,Hit,Double,Hit,Stay,Hit,Stay,Hit,Hit,Stay,Double
5,Hit,Hit,Stay,Hit,Double,Double,Stay,Double,Hit,Stay
A11,Hit,Stay,Hit,Hit,Hit,Double,Double,Double,Double,Stay
A10,Hit,Double,Double,Hit,Stay,Stay,Double,Hit,Double,Stay
A9,Hit,Double,Hit,Double,Hit,Double,Double,Stay,Stay,Hit
A8,Hit,Double,Double,Double,Hit,Hit,Stay,Stay,Hit,Stay
A7,Double,Double,Double,Stay,Double,Double,Hit,Stay,Stay,Double
A6,Hit,Double,Double,Hit,Stay,Double,Double,Stay,Hit,Hit
A5,Double,Stay,Stay,Stay,Double,Double,Stay,Hit,Stay,Double
A4,Hit,Hit,Double,Hit,Double,Double,Hit,Double,Stay,Double
A3,Hit,Stay,Hit,Stay,Double,Hit,Stay,Stay,Stay,Double
A2,Hit,Double,Stay,Double,Double,Stay,Stay,Hit,Stay,Double
A1,Double,Hit,Stay,Stay,Stay,Hit,Double,Double,Stay,Double
S11,Double,Stay,Double,Stay,Double,Stay,Split,Split,Double,Hit
S10,Split,Split,Double,Hit,Stay,Split,Hit,Stay,Hit,Double
S9,Stay,Stay,Double,Hit,Double,Hit,Stay,Double,Double,Stay
S8,Split,Double,Hit,Stay,Hit,Hit,Hit,Split,Stay,Hit
S7,Stay,Double,Split,Stay,Hit,Stay,Hit,Double,Stay,Hit
S6,Split,Double,Stay,Double,Split,Split,Double,Split,Stay,Split
S5,Split,Split,Stay,Split,Double,Split,Split,Double,Split,Hit
S4,Split,Double,Split,Split,Hit,Double,Hit,Hit,Hit,Split
S3,Stay,Stay,Stay,Hit,Double,Split,Hit,Double,Hit,Hit
S2,Double,Stay,Stay,Stay,Hit,Double,Stay,Stay,Split,Hit
S1,Split,Stay,Double,Stay,Hit,Double,Hit,Double,Hit,Stay
