S6,Stay,Hit,Stay,Stay,Stay,Double,Hit,Hit,Double,Stay
S7,Stay,Hit,Hit,Double,Hit,Stay,Split,Hit,Double,Stay
Player Hands,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Ace
17,Stay,Stay,Double,Hit,Stay,Double,Hit,Hit,Stay,Double
18,Stay,Stay,Hit,Hit,Stay,Double,Hit,Hit,Hit,Hit
13,Stay,Stay,Hit,Double,Stay,Double,Stay,Double,Stay,Double
A4,Stay,Hit,Double,Stay,Double,Stay,Hit,Hit,Double,Hit
10,Hit,Double,Double,Hit,Hit,Hit,Hit,Stay,Hit,Hit
6,Stay,Double,Hit,Double,Stay,Hit,Hit,Stay,Hit,Double
S1,Split,Split,Stay,Double,Split,Double,Stay,Hit,Double,Hit
20,Double,Hit,Double,Hit,Hit,Stay,Stay,Hit,Hit,Stay
15,Hit,Hit,Hit,Stay,Double,Stay,Double,Stay,Double,Stay
7,Hit,Hit,Hit,Hit,Hit,Stay,Hit,Double,Stay,Double
A7,Stay,Double,Hit,Hit,Stay,Double,Double,Stay,Stay,Stay
11,Stay,Double,Stay,Hit,Stay,Hit,Stay,Hit,Hit,Stay
A3,Double,Double,Double,Stay,Double,Double,Stay,Stay,Hit,Double
19,Stay,Double,Hit,Stay,Hit,Double,Hit,Double,Hit,Stay
S3,Split,Hit,Split,Split,Stay,Stay,Stay,Double,Hit,Double
14,Double,Stay,Stay,Stay,Stay,Double,Hit,Stay,Stay,Double
A8,Double,Double,Stay,Double,Hit,Double,Double,Stay,Hit,Hit
8,Double,Stay,Stay,Hit,Stay,Double,Stay,Stay,Double,Hit
12,Stay,Hit,Double,Stay,Hit,Stay,Hit,Double,Hit,Stay
S10,Stay,Stay,Double,Split,Stay,Hit,Stay,Stay,Double,Hit
5,Double,Stay,Double,Stay,Stay,Double,Double,Double,Stay,Stay
A11,Double,Hit,Double,Hit,Double,Double,Hit,Stay,Stay,Stay
9,Hit,Stay,Double,Stay,Double,Hit,Stay,Hit,Stay,Hit
S11,Double,Double,Split,Split,Hit,Hit,Split,Stay,Hit,Hit
A10,Double,Double,Hit,Stay,Double,Hit,Hit,Double,Hit,Stay
A9,Stay,Hit,Stay,Double,Hit,Hit,Hit,Hit,Hit,Stay
A6,Double,Stay,Hit,Hit,Hit,Stay,Double,Hit,Stay,Stay
A5,Hit,Stay,Stay,Double,Hit,Double,Double,Stay,Stay,Hit
A2,Stay,Double,Stay,Double,Stay,Double,Double,Double,Hit,Hit
S5,Split,Double,Double,Hit,Hit,Split,Split,Hit,Double,Hit
A1,Double,Double,Double,Double,Stay,Stay,Double,Hit,Stay,Hit
S4,Double,Split,Stay,Stay,Stay,Split,Stay,Split,Stay,Stay
S2,Stay,Hit,Hit,Stay,Hit,Stay,Hit,Split,Split,Double
S9,Hit,Double,Hit,Double,Double,Double,Stay,Hit,Hit,Split
16,Double,Double,Double,Hit,Hit,Double,Hit,Stay,Double,Stay
S8,Stay,Split,Split,Hit,Hit,Stay,Hit,Double,Stay,Double
